id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5491,Brooks,Dillon,23.02,MEM,SG/SF,@ MIL,33,11.92,1.88,3.5,2.61,0.99,0.25,1.26,2.48,1.32,0.34,4.36,7.52,0.01,0,
5662,Huerter,Kevin,22.84,SAC,SG,GSW,27,11.96,2.08,3.02,2.75,0.9,0.29,0.91,2.34,1.04,0.37,4.42,4.84,0.01,0,Questionable
6249,Yurtseven,Omer,22.84,MIA,C,@ WAS,20,9.23,0.18,8.04,1.02,0.53,0.57,1.08,3.85,0.99,0.55,4.03,3.74,0.19,0,
6502,Murray,Keegan,22.83,SAC,PF,GSW,31,10.86,2.53,5.14,1.37,0.73,0.48,0.51,1.38,0.51,0.17,3.91,4.93,0.04,0,Questionable
2730,Horford,Al,22.82,BOS,PF/C,TOR,26,7.92,1.88,5.44,3.14,0.46,0.89,0.56,1,0.28,0.09,2.88,3.76,0.02,0,Off Injury Report
5436,Korkmaz,Furkan,22.82,PHI,SG,@ ATL,30,12.48,2.14,3.67,2.48,0.63,0.34,2.01,2.03,2,0.72,4.17,6.28,0.02,0,
5977,Gafford,Daniel,22.81,WAS,PF/C,MIA,24,10.73,0,5.88,1.25,0.46,1.25,1.26,4.51,1.71,0.77,4.51,1.59,0.04,0,
3456,Crowder,Jae,22.74,MIL,SF/PF,MEM,24,9.03,1.99,5.32,2.24,1.01,0.49,0.7,1.07,0.92,0.25,3.06,5.07,0.03,0,
3435,Barnes,Harrison,22.73,SAC,SF/PF,GSW,33,14.32,1.36,3.9,1.34,0.48,0.12,0.76,2.92,4.4,0.74,4.28,5,0.02,0,
5898,Vincent,Gabe,22.55,MIA,PG,@ WAS,28,13.02,2.64,2.52,2.29,1.08,0.07,1.38,1.97,1.16,0.14,4.61,6.45,0.01,0,
3373,Joseph,Cory,22.49,DET,PG,@ IND,27,10.14,1.79,2.44,4.51,0.9,0.26,1.41,1.56,1.65,0.36,3.35,4.39,0.02,0,
3540,Leonard,Meyers,22.01,MIL,C,MEM,24,9.7,1.9,6.9,1.37,0.31,0.25,1.05,1.61,0.78,0.34,3.51,4.14,0.05,0,
6177,Maledon,Theo,21.97,CHA,PG,HOU,22,9.53,1.02,2.92,4.23,0.92,0.36,1.29,2.2,2.07,0.42,3.22,4.19,0.01,0,
5719,Trent,Gary,21.97,TOR,SG,@ BOS,27,13.64,2.05,2.32,1.23,1.18,0.22,0.51,2.91,1.67,0.28,4.96,7.04,0.01,0,
6294,Thor,J.T.,21.59,CHA,PF,HOU,33,9.88,1.27,5.17,1.18,0.9,0.84,1.37,2.5,1.07,0.58,3.77,4.49,0.03,0,
6520,Beauchamp,MarJon,21.35,MIL,SG,MEM,24,11.63,1.99,4.09,1.48,0.78,0.3,1.59,2.41,0.84,0.38,4.4,6.73,0.02,0,
5700,DiVincenzo,Donte,21.29,GSW,PG/SG,@ SAC,26,9.23,2.12,3.73,2.94,1.23,0.15,1.7,1.03,0.81,0.17,3.15,4,0.01,0,
5465,Collins,John,21.26,ATL,PF/C,PHI,25,10.89,0.83,4.83,1.15,0.45,0.81,0.71,3.32,1.76,0.49,4.15,3.73,0.02,0,
5389,Finney-Smith,Dorian,21.22,BKN,SF/PF,ORL,31,8.73,1.77,5.19,1.93,0.73,0.62,1.04,1.39,0.64,0.19,3.16,4.32,0.03,0,Playing
6295,Johnson,Jalen,21.18,ATL,SF,PHI,22,8,0.52,6.28,1.8,0.72,0.71,1.08,2.82,0.8,0.44,3.34,3.07,0.03,0,
5577,Craig,Torrey,21.07,PHO,SF/PF,@ LAL,25,7.87,1.38,6.02,1.63,0.62,0.87,0.98,1.69,0.35,0.17,3.07,4.14,0.03,0,
3904,Bogdanovic,Bogdan,20.97,ATL,SG/SF,PHI,23,11.25,2.13,2.54,2.53,0.75,0.35,1.05,1.83,1.2,0.25,3.96,4.93,0.01,0,Off Injury Report
3242,Ingles,Joe,20.65,MIL,SF,MEM,24,8.88,2.31,3.3,3.36,0.8,0.19,1.08,0.69,0.57,0.12,3,4.86,0.01,0,
6369,Huff,Jay,20.6,WAS,C,MIA,24,9.36,0.94,5.27,0.9,0.55,1.14,1.19,2.73,1.08,0.44,3.67,4.24,0.03,0,
